itemid,name,sell_single,buy_single,price_single,stock_single,sell_rate_single,buy_rate_single,sell_stacks,buy_stacks,price_stacks,stock_stacks,sell_rate_stacks,buy_rate_stacks
188,Acolyte's Grief,0,1,31500,1,0,0.25,0,0,0,0,0,0
189,Autumn's End,0,1,36000,1,0,0.25,0,0,0,0,0,0
194,Blacksmith Plaque,0,0,10000,0,0,0,0,0,0,0,0,0
195,The Big One,1,1,150000,1,0.01,0.25,0,0,0,0,0,0
200,Tsahyan Mask,1,1,62700,1,0.05,0.25,0,0,0,0,0,0
201,Totem Pole,1,1,46400,1,0.1,0.25,0,0,0,0,0,0
206,Ancient Blood,1,1,10000,1,0.05,0.25,0,0,0,0,0,0
207,Fire Lamp,1,1,153000,1,0.2362,0.1,0,0,0,0,0,0
208,Ice Lamp,1,1,153000,1,0.2362,0.1,0,0,0,0,0,0
209,Wind Lamp,1,1,153000,1,0.2362,0.1,0,0,0,0,0,0
210,Earth Lamp,1,1,153000,1,0.2362,0.1,0,0,0,0,0,0
211,Lightning Lamp,1,1,152000,1,0.2362,0.1,0,0,0,0,0,0
212,Water Lamp,1,1,153000,1,0.2362,0.1,0,0,0,0,0,0
213,Light Lamp,1,1,153000,1,0.2362,0.1,0,0,0,0,0,0
214,Dark Lamp,1,1,153000,1,0.2362,0.1,0,0,0,0,0,0
216,Porc. Flowerpot,1,1,20000,1,0.2,0.25,0,0,0,0,0,0
217,Brass Flowerpot,1,1,1000,1,0.2,0.25,0,0,0,0,0,0
218,Earthen Flowerpot,1,1,1000,1,0.2,0.25,0,0,0,0,0,0
219,Ceramic Flowerpot,1,1,1000,1,0.2,0.25,0,0,0,0,0,0
220,Wooden Flowerpot,1,1,30000,1,0.1,0.1,0,0,0,0,0,0
221,Arcane Flowerpot,1,1,70000,1,0.1,0.25,0,0,0,0,0,0
222,Fighting Fish Tank,1,1,200000,1,0.05,0.25,0,0,0,0,0,0
223,River Aquarium,1,1,69750,1,0.05,0.25,0,0,0,0,0,0
224,Bay Aquarium,1,1,43450,1,0.05,0.25,0,0,0,0,0,0
225,Reef Aquarium,1,1,57550,1,0.05,0.25,0,0,0,0,0,0
314,9-Drawer Almirah,1,1,75500,1,0.2,0.25,0,0,0,0,0,0
315,6-Drawer Almirah,1,1,69500,1,0.2,0.25,0,0,0,0,0,0
316,3-Drawer Almirah,1,1,63500,1,0.2,0.25,0,0,0,0,0,0
317,Bronze Rose,1,1,176000,1,0.1399,0.25,0,0,0,0,0,0
318,Crystal Rose,1,1,342000,1,0.03,0.25,0,0,0,0,0,0
319,Shell Lamp,1,1,103500,1,0.1,0.25,0,0,0,0,0,0
321,Mythril Bell,1,1,207000,1,0.05,0.25,0,0,0,0,0,0
322,Horn Trophy,1,1,326000,1,0.1379,0.25,0,0,0,0,0,0.75
326,          Yellow Hobby Bo,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
327,             Red Hobby Bo,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
328,           Black Hobby Bo,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
329,            Blue Hobby Bo,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
330,           Green Hobby Bo,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
331,Winged Altar,1,1,729000,1,0.01,0.25,0,0,0,0,0,0.75
332,Winged Plaque,1,1,728000,1,0.01,0.25,0,0,0,0,0,0.75
333,Winged Balance,1,1,665000,1,0.081,0.25,0,0,0,0,0,0.75
343,Harp Stool,1,1,85500,1,0.1427,0.25,0,0,0,0,0,0.75
349,Ryl. Sqr. Bunk,1,1,33300,1,0.2,0.25,0,0,0,0,0,0
350,Rep. Lgn. Bedding,1,1,36700,1,0.2,0.25,0,0,0,0,0,0
351,Fed. Mrc. Hammock,1,1,12100,1,0.2,0.25,0,0,0,0,0,0
352,Half Partition,1,1,207000,1,0.0938,0.25,0,0,0,0,0,0.75
353,                   Spence,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
354,Bookstack,1,1,107000,1,0.0891,0.25,0,0,0,0,0,0.75
355,Bread Crock,1,1,66000,1,0.01,0.25,0,0,0,0,0,0.75
357,Partition,1,1,140000,1,0.1251,0.25,0,0,0,0,0,0.75
358,Credenza,1,1,513000,1,0.0864,0.25,0,0,0,0,0,0.75
359,Bahut,1,1,10000,1,0.2,0.25,0,0,0,0,0,0
360,Matka,1,1,25000,1,0.0798,0.25,0,0,0,0,0,0.75
361,Gallipot,1,1,92000,1,0.0425,0.25,0,0,0,0,0,0.75
362,             Fluoro-flora,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
363,Amigo Cactus,1,1,25500,1,0.1151,0.25,0,0,0,0,0,0.75
364,Amiga Cactus,1,1,25500,1,0.1151,0.25,0,0,0,0,0,0.75
368,                      San. Tea Set,0,0,8000,1,0.2,0.25,0,0,1,1,1,0.75
369,                      Bas. Tea Set,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
370,                      Win. Tea Set,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
371,Butterfly Cage,1,1,14000,1,0.1436,0.25,0,0,0,0,0,0.75
372,Cricket Cage,1,1,9800,1,0.1436,0.25,0,0,0,0,0,0.75
373,Glowfly Cage,1,1,10000,1,0.2,0.25,0,0,0,0,0,0
374,Parclose,1,1,415000,1,0.0938,0.25,0,0,0,0,0,0.75
378,          Blue 9D Almirah,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
379,          Blue 6D Almirah,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
380,          Blue 3D Almirah,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
381,         Green 9D Almirah,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
382,         Green 6D Almirah,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
383,         Green 3D Almirah,0,0,30000,1,0.2,0.25,0,0,1,1,1,0.75
384,        Yellow 9D Almirah,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
385,        Yellow 6D Almirah,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
386,        Yellow 3D Almirah,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
387,         White 9D Almirah,0,0,20000,1,0.2,0.25,0,0,1,1,1,0.75
388,         White 6D Almirah,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
389,         White 3D Almirah,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
390,Carmine Desk,1,1,51000,1,0.035,0.25,0,0,0,0,0,0.75
391,Cerulean Desk,1,1,49500,1,0.035,0.25,0,0,0,0,0,0.75
392,Myrtle Desk,1,1,49500,1,0.035,0.25,0,0,0,0,0,0.75
393,Ecru Desk,1,1,49500,1,0.035,0.25,0,0,0,0,0,0.75
394,                        B. Tarutaru Desk,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
395,                        G. Tarutaru Desk,0,0,20000,1,0.2,0.25,0,0,1,1,1,0.75
396,                        Y. Tarutaru Desk,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
397,                        W. Tarutaru Desk,0,0,20000,1,0.2,0.25,0,0,1,1,1,0.75
402,Blue Noble's Bed,1,1,557000,1,0.0375,0.25,0,0,0,0,0,0.75
403,Green Noble's Bed,1,1,557000,1,0.0375,0.25,0,0,0,0,0,0.75
404,                      Yel. Noble's Bed,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
405,White Noble's Bed,1,1,557000,1,0.0375,0.25,0,0,0,0,0,0.75
406,                        B. Tarutaru Screen,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
407,                        G. Tarutaru Screen,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
408,                        Y. Tarutaru Screen,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
409,                        W. Tarutaru Screen,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
410,          Red Round Table,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
411,         Blue Round Table,0,0,20000,1,0.2,0.25,0,0,1,1,1,0.75
412,                Green Rnd. Table,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
413,               Yellow Rnd. Table,0,0,10000,1,0.2,0.25,0,0,1,1,1,0.75
414,White Rnd. Table,1,1,10000,1,0.2,0.25,0,0,0,0,0,0
416,Tomeshelf,1,1,12000,1,0.2,0.25,0,0,0,0,0,0
417,Storage Hutch,1,1,13000,1,0.2,0.25,0,0,0,0,0,0
418,Tidings Board,1,1,62500,1,0.2,0.25,0,0,0,0,0,0
419,Leisure Table,1,1,55000,1,0.2,0.25,0,0,0,0,0,0
420,Meadsweet Pot,1,1,16920,1,0.2,0.25,0,0,0,0,0,0
421,R. Orchid Vase,1,1,6500,1,0.2,0.25,0,0,0,0,0,0
422,Elshimo Pachira,1,1,11800,1,0.2,0.25,0,0,0,0,0,0
423,Tavern Bench,1,1,10000,1,0.2,0.25,0,0,0,0,0,0
424,Feasting Table,1,1,41300,1,0.2,0.25,0,0,0,0,0,0
425,Girandola,1,1,15000,1,0.2,0.25,0,0,0,0,0,0
429,R. Storm Lantern,1,1,5000,1,0.2,0.25,0,1,1,1,0,0.75
430,B. Storm Lantern,1,1,10000,1,0.2,0.25,0,1,1,1,0,0.75
431,G. Storm Lantern,1,1,25500,1,0.2,0.25,0,1,1,1,0,0.75
432,Y. Storm Lantern,1,1,10000,1,0.2,0.25,0,1,1,1,0,0.75
433,W. Storm Lantern,1,1,10000,1,0.2,0.25,0,1,1,1,0,0.75
440,Squat Desk,1,1,17000,1,0.2,0.25,0,1,1,1,0,0.75
445,Vaisselier Royale,1,1,10000,1,0.2,0.25,0,1,1,1,0,0.75
450,Candelabrum,1,1,10000,1,0.2,0.25,0,1,1,1,0,0.75
459,Candle Holder,1,1,10000,1,0.2,0.25,0,1,1,1,0,0.75
460,Bakery Platter,1,1,10000,1,0.2,0.25,0,1,1,1,0,0.75
472,Bkn. S.H. Rod,1,1,1000,1,0.3,0.25,0,1,1,1,0,0.75
473,Broken Comp. Rod,1,1,1000,1,0.3,0.25,0,1,1,1,0,0.75
482,Bkn. Clothespole,1,1,1000,1,0.3,0.25,0,1,1,1,0,0.75
483,Bkn. Mithran Rod,1,1,1000,1,0.3,0.25,0,1,1,1,0,0.75
484,Bkn. Taru. Rod,1,1,1000,1,0.3,0.25,0,1,1,1,0,0.75
485,Bkn. Willow Rod,1,1,500,1,0.3,0.25,0,1,1,1,0,0.75
486,Bkn. Yew Rod,1,1,250,1,0.3,0.25,0,1,1,1,0,0.75
487,Bkn. Bamboo Rod,1,1,100,1,0.3,0.25,0,1,1,1,0,0.75
488,Bkn. Fast. Rod,1,1,1000,1,0.3,0.25,0,1,1,1,0,0.75
489,Bkn. Lu Rod,1,1,500000,1,0.05,0.25,0,1,1,1,0,0.75
490,Bkn. Carbon Rod,1,1,1000,1,0.3,0.25,0,1,1,1,0,0.75
491,Bkn. Glass Rod,1,1,1000,1,0.3,0.25,0,1,1,1,0,0.75
492,Drachenfall Water,1,1,1000,1,0.1,0.25,0,1,1,1,0,0.75
493,Brass Canteen,1,1,100,1,0.1,0.25,0,1,1,1,0,0.75
497,Gigas Socks,1,1,1000,3,1,0.25,1,1,12000,1,0.5,0.75
498,Yagudo Necklace,1,1,975,5,1,0.25,1,1,9750,1,1,0.75
499,Gigas Necklace,1,1,1000,3,1,0.25,1,1,12000,1,0.5,0.75
501,Quadav Helm,1,1,1000,3,1,0.25,1,1,12000,1,0.5,0.75
503,Sunsand,1,1,16000,1,0.3,0.25,1,1,100000,1,0.1,0.75
505,Sheepskin,1,1,130,3,0.7,0.25,1,1,1300,1,0.3,0.75
506,Coeurl Leather,1,1,10500,5,0.4915,0.25,1,1,105000,2,0.2784,0.75
507,Goblin Mail,1,1,750,3,1,0.25,1,1,7500,1,0.8,0.75
508,Goblin Helm,1,1,100,3,1,0.25,1,1,1200,1,0.8,0.75
510,Goblin Armor,1,1,100,3,1,0.25,1,1,1200,1,0.8,0.75
511,Goblin Mask,1,1,500,3,1,0.25,1,1,5000,1,0.8,0.75
529,Luminicloth,1,1,3150,5,0.9,0.25,1,1,31500,2,0.5,0.75
532,Magicmart Flyer,1,1,50,1,0.2,0.25,1,1,100,1,0.1,0.75
533,Derfland Humus,1,1,8000,1,0.2,0.25,0,1,1,1,0,0.75
534,Gausebit Grass,1,1,2500,1,0.3,0.25,1,1,50000,1,1,0.75
536,Adventurer Cpn.,1,1,125,1,0.2,0.25,0,1,1,1,0,0.75
544,Test Answers,1,1,1000,1,0.8,0.25,0,1,1,1,0,0.75
546,Starfall Tear,1,1,10000,1,0.8,0.25,0,1,1,1,0,0.75
548,Tenshodo Invite,1,1,30000,0,0.01,0.25,0,0,0,0,0,0
550,Steam Clock,1,1,1000,1,0.2,0.25,0,1,1,1,0,0.75
551,Bruised Starfruit,1,1,3000,1,0.5,0.25,0,1,1,1,0,0.75
560,Zeruhn Soot,1,1,100,1,1,0.25,1,1,1200,1,0.1,0.75
564,Fingernail Sack,1,1,222,1,1,0.25,1,1,2000,1,0.1,0.75
565,Teeth Sack,1,1,222,1,1,0.25,1,1,2000,1,0.1,0.75
566,Goblin Cup,1,1,222,1,1,0.25,1,1,2000,1,0.1,0.75
568,Goblin Die,1,1,222,1,1,0.25,1,1,2000,1,0.1,0.75
572,Herb Seeds,1,1,300,10,1,0.25,1,1,3000,1,0.8,0.75
573,Vegetable Seeds,1,1,560,5,1,0.25,1,1,5600,1,0.5,0.75
574,Fruit Seeds,1,1,500,5,1,0.25,1,1,5000,1,0.5,0.75
575,Grain Seeds,1,1,560,5,1,0.25,1,1,5600,1,0.5,0.75
596,Quadav Backplate,1,1,1000,10,1,0.25,1,1,10000,1,0.5,0.75
597,Mine Gravel,1,1,10000,1,1,0.25,0,1,1,1,0,0.75
605,Pickaxe,1,1,250,3,1,0.25,1,1,2500,1,0.5,0.75
606,Fetich Head,1,1,5000,1,0.15,0.25,0,1,1,1,0,0.75
607,Fetich Torso,1,1,5000,1,0.15,0.25,0,1,1,1,0,0.75
608,Fetich Arms,1,1,5000,1,0.15,0.25,0,1,1,1,0,0.75
609,Fetich Legs,1,1,5000,1,0.15,0.25,0,1,1,1,0,0.75
610,San D'Or. Flour,1,1,100,5,1,0.25,1,1,1000,1,0.5,0.75
611,Rye Flour,1,1,120,3,1,0.25,1,1,1000,2,0.9,0.75
612,Kazham Peppers,1,1,75,5,1,0.25,1,1,750,1,0.5,0.75
614,Mhaura Garlic,1,1,400,5,1,0.25,1,1,3000,1,0.5,0.75
615,Selbina Butter,1,1,500,10,1,0.25,1,1,5000,2,1,0.75
616,Pie Dough,1,1,300,5,1,0.25,1,1,3000,2,0.9,0.75
617,Ginger,1,1,200,5,1,0.25,1,1,2000,1,1,0.75
618,Blue Peas,1,1,50,5,1,0.25,1,1,500,1,0.5,0.75
619,Popoto,1,1,80,5,1,0.25,1,1,800,1,1,0.75
620,Tarutaru Rice,1,1,250,5,1,0.25,1,1,2000,1,0.5,0.75
621,Crying Mustard,1,1,75,5,1,0.25,1,1,750,1,1,0.75
622,Dried Marjoram,1,1,125,3,1,0.25,1,1,1250,1,0.9,0.75
623,Bay Leaves,1,1,300,5,1,0.25,1,1,3000,1,0.5,0.75
624,Pamtam Kelp,1,1,200,3,1,0.25,1,1,2000,1,0.5,0.75
625,Apple Vinegar,1,1,300,3,1,0.25,1,1,3000,1,0.5,0.75
626,Black Pepper,1,1,500,5,1,0.25,1,1,5000,1,0.5,0.75
627,Maple Sugar,1,1,50,5,1,0.25,1,1,500,1,0.5,0.75
628,Cinnamon,1,1,440,5,1,0.25,1,1,4400,1,1,0.75
629,Millioncorn,1,1,100,5,1,0.25,1,1,1100,1,0.5,0.75
630,Ogre Pumpkin,1,1,125,5,1,0.25,1,1,1250,1,0.5,0.75
631,Horo Flour,1,1,50,5,1,0.25,1,1,500,1,0.5,0.75
632,Kukuru Bean,1,1,150,4,1,0.25,1,1,1500,1,0.5,0.75
633,Olive Oil,1,1,60,5,1,0.25,1,1,400,1,0.5,0.75
635,Win. Tea Leaves,1,1,88,5,1,0.25,1,1,800,1,1,0.75
636,Chamomile,1,1,200,5,1,0.25,1,1,2000,1,1,0.75
637,Slime Oil,1,1,3700,5,0.9,0.25,1,1,37000,2,0.5,0.75
638,Sage,1,1,250,5,1,0.25,1,1,2500,1,0.9,0.75
639,Chestnut,1,1,200,5,1,0.25,1,1,2000,1,0.4,0.75
640,Copper Ore,1,1,10,6,0.85,0.25,1,1,100,3,0.55,0.75
641,Tin Ore,1,1,60,2,0.5,0.25,1,1,600,1,0.15,0.75
642,Zinc Ore,1,1,130,3,0.7,0.25,1,1,1300,1,0.3,0.75
643,Iron Ore,1,1,870,6,0.85,0.25,1,1,8700,3,0.55,0.75
644,Mythril Ore,1,1,1950,6,0.85,0.25,1,1,19500,3,0.55,0.75
645,Darksteel Ore,1,1,4750,5,0.9,0.25,1,1,47500,2,0.5,0.75
646,Adaman Ore,1,1,7250,5,0.9,0.25,1,1,72500,2,0.5,0.75
647,Molybdenum Ore,1,1,50000,5,0.9,0.25,1,1,500000,2,0.5,0.75
648,Copper Ingot,1,1,180,3,0.7,0.25,1,1,1800,1,0.3,0.75
649,Bronze Ingot,1,1,110,2,0.5,0.25,1,1,1100,1,0.15,0.75
650,Brass Ingot,1,1,420,2,0.5,0.25,1,1,4200,1,0.15,0.75
651,Iron Ingot,1,1,3600,3,0.7,0.25,1,1,36000,1,0.3,0.75
652,Steel Ingot,1,1,4500,5,0.9,0.25,1,1,45000,2,0.5,0.75
653,Mythril Ingot,1,1,10500,5,0.9,0.25,1,1,105000,2,0.5,0.75
654,Darksteel Ingot,1,1,24000,5,0.9,0.25,1,1,240000,2,0.5,0.75
655,Adaman Ingot,1,1,36500,5,0.9,0.25,1,1,365000,2,0.5,0.75
656,Beastcoin,1,1,100,10,1,0.25,1,1,1200,3,1,0.75
657,Tama-Hagane,1,1,5050,6,0.85,0.25,1,1,50500,3,0.55,0.75
658,Damascus Ingot,1,1,100000,5,0.9,0.25,1,1,1000000,2,0.5,0.75
659,Tin Ingot,1,1,810,1,0.25,0.25,1,1,8100,1,0.03,0.75
660,Bronze Sheet,1,1,65,6,0.9365,0.25,1,1,650,3,0.5305,0.75
661,Brass Sheet,1,1,320,6,0.8556,0.25,1,1,3200,3,0.4847,0.75
662,Iron Sheet,1,1,4350,6,1,0.25,1,1,43500,3,0.5665,0.75
663,Mythril Sheet,1,1,13000,6,1,0.25,1,1,130000,3,0.5665,0.75
664,Darksteel Sheet,1,1,30000,6,0.9979,0.25,1,1,300000,3,0.5653,0.75
665,Adaman Sheet,1,1,79500,6,0.8048,0.25,1,1,795000,3,0.4559,0.75
666,Steel Sheet,1,1,8100,6,1,0.25,1,1,81000,3,0.5665,0.75
667,Blsd. Mtl. Sheet,1,1,13500,3,0.7,0.25,1,1,135000,1,0.3,0.75
668,Ocl. Sheet,1,1,134000,5,0.9,0.25,1,1,1340000,2,0.5,0.75
669,Mlbd. Sheet,1,1,81000,2,0.5,0.25,1,1,810000,1,0.15,0.75
670,Aluminum Sheet,1,1,21000,5,0.5775,0.25,1,1,210000,3,0.3272,0.75
671,Silver Sheet,1,1,3250,6,1,0.25,1,1,32500,3,0.5665,0.75
672,Bronze Scales,1,1,730,6,1,0.25,1,1,7300,3,0.5665,0.75
673,Brass Scales,1,1,230,6,1,0.25,1,1,2300,3,0.5665,0.75
674,Iron Scales,1,1,7250,6,1,0.25,1,1,72500,3,0.5665,0.75
675,Adaman Scales,1,1,27000,1,0.25,0.25,1,1,270000,1,0.03,0.75
676,Steel Scales,1,1,14500,6,1,0.25,1,1,145000,3,0.5665,0.75
678,Aluminum Ore,1,1,3050,1,0.25,0.25,1,1,30500,1,0.03,0.75
679,Aluminum Ingot,1,1,11000,2,0.5,0.25,1,1,110000,1,0.15,0.75
680,Iron Chain,1,1,6300,3,0.7,0.25,1,1,63000,1,0.3,0.75
681,Mythril Chain,1,1,8750,2,0.5,0.25,1,1,87500,1,0.15,0.75
682,Darksteel Chain,1,1,34000,3,0.7,0.25,1,1,340000,1,0.3,0.75
683,Adaman Chain,1,1,94500,2,0.5,0.25,1,1,945000,1,0.15,0.75
684,Aluminum Chain,1,1,12500,2,0.5,0.25,1,1,125000,1,0.15,0.75
685,Khroma Ore,1,1,7250,3,0.7,0.25,1,1,72500,1,0.3,0.75
686,Im. Wootz Ingot,1,1,37500,5,0.9,0.25,1,1,375000,2,0.5,0.75
688,Arrowwood Log,1,1,20,6,0.85,0.25,1,1,200,3,0.55,0.75
689,Lauan Log,1,1,35,6,0.85,0.25,1,1,350,3,0.55,0.75
690,Elm Log,1,1,8400,6,0.85,0.25,1,1,84000,3,0.55,0.75
691,Maple Log,1,1,60,6,0.85,0.25,1,1,600,3,0.55,0.75
692,Beech Log,1,1,23500,3,0.7,0.25,1,1,235000,1,0.3,0.75
693,Walnut Log,1,1,1100,2,0.5,0.25,1,1,11000,1,0.15,0.75
694,Chestnut Log,1,1,2750,6,0.85,0.25,1,1,27500,3,0.55,0.75
695,Willow Log,1,1,350,2,0.5,0.25,1,1,3500,1,0.15,0.75
696,Yew Log,1,1,790,1,0.25,0.25,1,1,7900,1,0.03,0.75
697,Holly Log,1,1,1250,1,0.25,0.25,1,1,12500,1,0.03,0.75
698,Ash Log,1,1,95,6,0.85,0.25,1,1,950,3,0.55,0.75
699,Oak Log,1,1,6150,6,0.85,0.25,1,1,61500,3,0.55,0.75
700,Mahogany Log,1,1,9750,3,0.7,0.25,1,1,97500,1,0.3,0.75
701,Rosewood Log,1,1,8700,3,0.7,0.25,1,1,87000,1,0.3,0.75
702,Ebony Log,1,1,11500,3,0.7,0.25,1,1,115000,1,0.3,0.75
703,Petrified Log,1,1,31500,5,0.9,0.25,1,1,315000,2,0.5,0.75
704,Bamboo Stick,1,1,100,6,0.85,0.25,1,1,1000,3,0.55,0.75
705,Arrowwood Lbr.,1,1,10,1,0.25,0.25,1,1,100,1,0.03,0.75
706,Lauan Lumber,1,1,80,1,0.25,0.25,1,1,800,1,0.03,0.75
